site_id,lat,lon,traffic_score,parking_score,demand_proxy
PK_53,30.2681084,-97.739769,69.36375107332259,100.0,58.74224812220308
PK_370,30.2689171,-97.7438278,79.97040795898141,100.0,65.25689885135435
PK_37,30.2667732,-97.744072,74.63626551707048,100.0,52.91261572276807
PK_413,30.2637196,-97.742363,59.011268770961834,100.0,57.216182160070005
PK_401,30.2711639,-97.7489395,87.86384642076989,100.0,63.85837276510177
PK_394,30.2692719,-97.7498703,91.21004969897852,100.0,65.14649900970255
PK_47,30.2626343,-97.7413559,50.5900376239889,100.0,43.74087541217534
PK_399,30.2645073,-97.746582,67.61568977461343,100.0,53.14630190262165
PK_17,30.2646103,-97.746933,69.21488091455622,100.0,54.52264598864315
PK_16,30.2647915,-97.7476578,72.60637238681286,100.0,53.8344739456324
PK_48,30.2639065,-97.7421036,59.09375022546325,100.0,60.657042375123766
PK_412,30.2636738,-97.7428513,59.88433228643866,100.0,52.224443679757314
PK_1606,30.2676487,-97.7372437,52.254808528588754,100.0,44.26055568461376
PK_67,30.2712383,-97.7362595,60.0148270919837,100.0,56.67771211682653
PK_971,30.2686405,-97.7498856,91.121541890642,100.0,67.21101513873481
PK_4,30.2708855,-97.7477722,84.80469588295632,100.0,66.95514695865016
PK_642,30.2672253,-97.7492447,86.66492150917844,100.0,54.86673201014853
PK_3,30.2706051,-97.7476349,84.35529331360432,100.0,67.64331900166091
PK_646,30.2706547,-97.7486267,87.07627199506904,100.0,63.5142867435964
PK_372,30.2714481,-97.7431641,83.11283004672761,100.0,83.52563116710166
PK_334,30.2662754,-97.7355042,42.59330763377237,100.0,35.658405146979355
PK_35,30.2665424,-97.7441406,74.05458367946032,100.0,56.88424721037578
PK_650,30.2700844,-97.7507782,94.31053962907166,100.0,62.393810837659544
PK_95,30.264204,-97.7455368,63.33560123773609,100.0,52.802215881116275
PK_323,30.2659874,-97.7484894,80.28512822424578,100.0,54.17855996713777
PK_968,30.2722836,-97.744957,87.48899846930003,100.0,78.84364563625213
PK_70,30.2665501,-97.7361374,43.41429482921508,100.0,37.03474923300086
PK_46,30.2634163,-97.7420807,57.27403065177028,100.0,57.90435420308075
PK_966,30.2726345,-97.7447357,87.2916246380816,100.0,79.53181767926289
PK_379,30.2680378,-97.7453461,82.10031604832368,100.0,65.07020697485767
PK_375,30.2718086,-97.7433777,83.98566906519356,100.0,80.21998972227364
PK_970,30.2684307,-97.7502213,92.50166656245943,100.0,65.14649900970255
PK_404,30.2705975,-97.7491989,88.7523625547966,100.0,59.38525448553188
PK_409,30.2678566,-97.7462692,77.10505632694738,100.0,64.7261209533523
PK_88,30.2686977,-97.7388916,56.68784330662113,100.0,47.6636442200626
PK_433,30.266367,-97.7421265,68.27994178994241,100.0,58.41639533386254
PK_94,30.2666492,-97.746109,73.69442897809401,100.0,57.96350620369692
PK_84,30.2708836,-97.7445679,85.28701476681935,100.0,79.53181767926289
PK_333,30.269352,-97.7383881,57.776035872874594,100.0,46.975472177051856
PK_349,30.2667408,-97.7362137,49.024374745810135,100.0,37.37883525450624
PK_961,30.2745571,-97.7436523,86.5522043445194,100.0,73.34828696968982
PK_402,30.270937,-97.748909,87.83926480788779,100.0,64.54654480811253
PK_434,30.2671928,-97.741806,70.34282393888036,100.0,67.49939439263483
PK_357,30.2692909,-97.7402039,73.46422307617615,100.0,61.839022315751464
PK_387,30.2626266,-97.7435532,54.620322223711774,100.0,62.30140571304108
PK_39,30.2655907,-97.743988,70.18233794278939,100.0,52.411128930805894
PK_27,30.2738743,-97.7434769,85.98044800856104,100.0,78.47391913060869
PK_1607,30.2705154,-97.7409286,77.50135172623193,100.0,81.45951830507786
PK_407,30.267025,-97.7415924,69.31377909856559,100.0,57.38413726934642
PK_31,30.2709217,-97.740448,77.56723135898773,100.0,82.14769034808862
PK_373,30.2716503,-97.7430954,83.25818837224429,100.0,84.55788923161779
PK_411,30.2632656,-97.7430038,58.58446801161362,100.0,51.192185615241186
PK_1284,30.2694588,-97.7481766,85.30321047230558,100.0,62.48202867908027
PK_426,30.2679615,-97.7384644,54.21352295616187,100.0,47.319558198557225
PK_1612,30.2654114,-97.7454071,67.76132147087671,100.0,53.49038792412703
PK_398,30.2690239,-97.7493591,89.17580861491417,100.0,67.89918718174556
PK_322,30.2688847,-97.7464905,79.57699876946705,100.0,67.9874050231663
PK_64,30.2697144,-97.738121,58.36043954025983,100.0,63.179688363766914
PK_34,30.2667999,-97.7445679,76.14267539037908,100.0,52.202261679526245
PK_330,30.2682438,-97.7378693,54.43095254842183,100.0,47.6636442200626
PK_432,30.2658997,-97.7427597,68.15960217545033,100.0,52.91261572276807
PK_364,30.269186,-97.7451935,84.18451173314163,100.0,64.01577353555858
PK_324,30.2656536,-97.7476578,75.85952639662062,100.0,53.14630190262165
PK_430,30.2639713,-97.7418289,58.65362521324084,100.0,61.001128396629134
PK_382,30.2683487,-97.7464371,78.54646333889654,100.0,66.61106093714479
PK_1604,30.2686825,-97.7373123,55.14955786857731,100.0,43.53461196199809
PK_425,30.2674427,-97.7381668,52.38759108583985,100.0,37.89247311827957
PK_367,30.2697105,-97.7459259,87.17994366501534,100.0,66.61106093714479
PK_325,30.2678223,-97.7452698,81.30777166485375,100.0,64.38203493184692
PK_962,30.272831,-97.7438278,85.81557564093922,100.0,90.86101590480224
PK_356,30.2688141,-97.7397385,71.43333785341261,100.0,53.58095779962243
PK_73,30.265316,-97.7371216,39.67627930388346,100.0,48.55648298025906
PK_381,30.2681103,-97.7462234,77.4807701882531,100.0,72.9596050570389
