geoid,lat,lon,population
482090109123,30.1247247,-97.8857463,1658
482090108121,30.081026,-98.0415993,2333
482090108164,30.193271,-97.9900608,1696
484530415001,30.3765768,-97.6682203,1925
484530438001,30.3835303,-97.6554838,2050
484530022131,30.2919891,-97.6465946,542
480559606001,29.7207447,-97.6175174,1498
480219508061,29.9761899,-97.5141673,1551
484910203541,30.520114,-97.8642531,2416
484910203551,30.4896817,-97.8213357,3265
484910205141,30.5221204,-97.7245846,1420
484530019101,30.2888801,-97.793555,827
484530308004,30.3994818,-97.7554046,1435
484530435003,30.3584142,-97.6613003,3120
480219508051,30.027055,-97.5556213,2161
480219502012,30.3514725,-97.3550727,1266
480219504033,30.093474,-97.3005605,1474
480219504031,30.08682,-97.3272699,1814
480559607021,29.6590017,-97.6258874,970
480559601023,29.8847615,-97.5017453,1333
480559601041,29.9488212,-97.7198252,2760
480559605021,29.7742668,-97.7355178,1684
480559601022,29.9277845,-97.5737724,2751
480559605022,29.8466449,-97.7803826,1688
480559607011,29.6961697,-97.6455604,1450
480559605013,29.8824702,-97.8703024,2356
480559601032,29.9444419,-97.6004948,2087
480559605011,29.8504258,-97.828447,1633
482090104022,29.7942508,-97.9748326,998
482090106022,29.8590412,-97.9808072,1960
482090107041,29.9423773,-98.0038667,2302
482090108123,29.9501349,-98.0563301,1437
484910212032,30.5867801,-97.4158746,1224
484530019103,30.2595416,-97.8017714,2076
484530430001,30.450066,-97.7030334,1734
484530022132,30.2859358,-97.6420721,2847
484910206082,30.5543996,-97.7394881,2000
484910206081,30.5541162,-97.7492488,2560
484910207091,30.4893682,-97.6710809,633
484910214072,30.6054879,-97.660113,4970
484910208143,30.5037677,-97.6089716,674
484910208211,30.5944695,-97.6278687,3781
484910202071,30.6881655,-97.9002307,3449
482090108132,30.0405313,-98.143701,1397
482090109223,30.0439204,-97.8319206,3977
482090106013,29.8784721,-97.9626512,776
484910201063,30.6972052,-97.6924868,1181
484910202032,30.7273641,-97.7298639,933
484910201162,30.7110428,-97.7112991,1490
484910205051,30.5132844,-97.7139817,1244
484910203453,30.5256286,-97.7639524,3843
484910206022,30.5235875,-97.6953103,665
484910204101,30.4486247,-97.7661817,1605
484910204062,30.443258,-97.7805398,1727
484910205092,30.5173825,-97.738036,1254
484910207122,30.4926189,-97.6406413,2543
484910203451,30.5175933,-97.7710549,2416
484910203481,30.5283533,-97.7980374,2939
484530403003,30.3412558,-97.6916723,1634
484530319003,30.1700246,-97.8332755,1323
484530322002,30.3649684,-97.7560623,1415
484530323002,30.3600663,-97.7486336,1606
484530024193,30.1863227,-97.7560125,1503
484530424001,30.3712927,-97.6023406,4663
484530012003,30.2792534,-97.7638158,788
484530014031,30.2363404,-97.7371275,843
484530021074,30.3052266,-97.6749459,1397
484530418001,30.3993989,-97.699842,1435
484530021081,30.2942939,-97.6707605,3146
484530021082,30.3061369,-97.6639016,1513
480219501022,30.3043772,-97.3239308,953
480219503023,30.014651,-97.3668669,827
484530011032,30.2646001,-97.7396453,1279
480219508042,30.0925302,-97.5259201,1749
480219503032,30.0996679,-97.4742469,1150
480219501013,30.2720943,-97.3516487,598
480219508041,30.0337224,-97.4856847,3377
480219508032,30.1203098,-97.5616694,1313
484530019221,30.2406956,-97.7937192,1239
484530020043,30.2351783,-97.7903521,323
480219508031,30.1313505,-97.5630049,1096
480219508053,30.0392463,-97.5823593,1226
480219504022,30.0925218,-97.2832452,1400
480219502013,30.3750764,-97.3630956,1677
