geoid,name,lat,lon,pop,housing_units,area_sqkm
48453035000,350,30.3656469,-97.875321,7266,2657,19.51500159910636
48453002216,22.16,30.2337824,-97.5816618,10133,3678,58.134480737284115
48453002448,24.48,30.1919584,-97.7152738,7222,2590,16.064157729479504
48453044200,442,30.4301484,-97.663273,5344,3198,2.670039059738344
48453000309,3.09,30.2979394,-97.7047752,5602,2993,1.9020731229373278
48453032600,326,30.4093024,-97.7785466,5829,2018,7.4320425299615485
48453002214,22.14,30.2763965,-97.6536056,3624,821,9.57779061401858
48453002320,23.20,30.221926,-97.6951754,3940,1443,2.509820630873723
48453002327,23.27,30.2405801,-97.7026847,4321,1921,2.5322144263532866
48453002325,23.25,30.2314763,-97.7064954,4352,1615,1.3044152788153132
48453043200,432,30.3505988,-97.7006168,2923,1270,1.025850354591666
48453033200,332,30.1362252,-97.8394382,5068,1926,7.1304446831855985
48453043300,433,30.3329402,-97.6956402,3708,1317,1.1462858383582508
48453034100,341,30.4443838,-97.736132,5615,3059,3.6903730893879843
48453002452,24.52,30.1899566,-97.6294321,2180,683,9.098141962717627
48453002222,22.22,30.3004932,-97.6332638,4214,1216,2.60846814913116
48453000308,3.08,30.2961202,-97.6944443,2698,1144,1.4669689570288431
48453034600,346,30.4135217,-97.834548,4889,2575,9.502567689974082
48453002321,23.21,30.2318927,-97.6939756,4725,1950,1.8564257387854033
48453002215,22.15,30.2573223,-97.5864772,4182,1175,11.596046021673365
48453002326,23.26,30.244493,-97.7125417,1307,552,0.8549564863507321
48453000402,4.02,30.284139,-97.7155242,3625,1831,1.5435819519803382
48453000500,5,30.2960656,-97.7341753,4490,2752,1.1520341968471668
48453000601,6.01,30.2874117,-97.7380441,8580,622,1.1133882854330537
48453000801,8.01,30.2669322,-97.7014639,1730,860,1.2979899769654195
48453000802,8.02,30.2735527,-97.707989,3330,1428,1.7118096362604112
48453000803,8.03,30.2768115,-97.7204722,3158,1966,1.4449904178250066
48453000804,8.04,30.2700914,-97.7219451,2419,1171,1.0476339403450656
48453000901,9.01,30.265568,-97.7237399,2719,1411,0.8671248451838887
48453001603,16.03,30.2984281,-97.7564434,4789,1921,2.55959979621111
48453001605,16.05,30.286771,-97.7605726,3889,2208,1.8941880717286763
48453001606,16.06,30.3056732,-97.7608291,228,28,0.5037735159092126
