site_id,lat,lon,is_existing,community_id,distance_to_nearest_existing_km,node_weight
OCM_120216,30.4041937,-97.7054647,True,0,0.0,
OCM_120218,30.404742,-97.722769,True,0,0.0,
OCM_120219,30.405175,-97.711583,True,0,0.0,
OCM_120220,30.4060147,-97.7206829,True,0,0.0,
OCM_120222,30.4095565,-97.7459474,True,0,0.0,
OCM_120223,30.4141186,-97.6670087,True,0,0.0,
OCM_120225,30.422284,-97.71646,True,0,0.0,
OCM_120227,30.4240459,-97.7104311,True,0,0.0,
OCM_120230,30.4365941,-97.7776165,True,0,0.0,
OCM_120234,30.442531,-97.62957,True,0,0.0,
OCM_120242,30.455107,-97.768221,True,0,0.0,
OCM_120244,30.469703,-97.598485,True,0,0.0,
OCM_120245,30.4700022,-97.7664347,True,0,0.0,
OCM_120246,30.471863,-97.796031,True,0,0.0,
OCM_120247,30.4768012,-97.7786433,True,0,0.0,
OCM_120248,30.4772328,-97.785194,True,0,0.0,
OCM_120250,30.484634,-97.807088,True,0,0.0,
OCM_120253,30.4963137,-97.6809454,True,0,0.0,
OCM_121665,30.204665,-97.669632,True,0,0.0,
OCM_121667,30.264685,-97.707837,True,0,0.0,
OCM_129568,30.143066,-97.79395,True,0,0.0,
OCM_129575,30.256076,-97.869726,True,0,0.0,
OCM_129585,30.450758,-97.749282,True,0,0.0,
OCM_131166,30.196669,-97.786373,True,0,0.0,
OCM_131171,30.276423,-97.749389,True,0,0.0,
OCM_131173,30.389507,-97.718895,True,0,0.0,
OCM_137551,30.3061884,-97.7434332,True,0,0.0,
OCM_137553,30.3152291,-97.7243951,True,0,0.0,
OCM_137555,30.3214817,-97.7395649,True,0,0.0,
OCM_137567,30.389267,-97.73974,True,0,0.0,
OCM_137573,30.413018,-97.675541,True,0,0.0,
OCM_138454,30.14773,-97.8016,True,0,0.0,
OCM_138457,30.1896375,-97.8564284,True,7,0.0,
OCM_138458,30.215936,-97.796703,True,0,0.0,
OCM_138459,30.218091,-97.855,True,0,0.0,
OCM_138463,30.232273,-97.743816,True,0,0.0,
OCM_138464,30.2358563,-97.7415772,True,0,0.0,
OCM_138466,30.244108,-97.844537,True,0,0.0,
OCM_138469,30.2460067,-97.8046215,True,0,0.0,
OCM_138470,30.2468341,-97.8460181,True,0,0.0,
OCM_138473,30.248932,-97.762283,True,0,0.0,
OCM_138475,30.250807,-97.8617171,True,0,0.0,
OCM_138476,30.2540745,-97.8707162,True,0,0.0,
OCM_138477,30.2558811,-97.7628877,True,0,0.0,
OCM_138478,30.25602,-97.7396238,True,0,0.0,
OCM_138479,30.2572051,-97.7599259,True,0,0.0,
OCM_138480,30.259167,-97.807778,True,0,0.0,
OCM_138481,30.261032,-97.727974,True,0,0.0,
OCM_138482,30.2651989,-97.7421936,True,0,0.0,
OCM_138483,30.265768,-97.7796813,True,0,0.0,
OCM_138484,30.2710042,-97.7537983,True,0,0.0,
OCM_138485,30.270944,-97.744761,True,0,0.0,
OCM_138486,30.280698,-97.824024,True,0,0.0,
OCM_138487,30.28771,-97.829448,True,0,0.0,
OCM_138490,30.304121,-97.702978,True,0,0.0,
OCM_138494,30.318426,-97.71069,True,0,0.0,
OCM_138499,30.329,-97.709399,True,0,0.0,
OCM_138500,30.34747,-97.80102,True,6,0.0,
OCM_138501,30.351485,-97.752008,True,0,0.0,
OCM_138502,30.361342,-97.708505,True,0,0.0,
OCM_138504,30.369535,-97.61957,True,0,0.0,
OCM_138508,30.395059,-97.653607,True,0,0.0,
OCM_138510,30.401695,-97.703797,True,0,0.0,
OCM_138511,30.409913,-97.657751,True,0,0.0,
OCM_138512,30.411955,-97.652813,True,0,0.0,
OCM_138514,30.4133204,-97.6545915,True,0,0.0,
OCM_138515,30.4165888,-97.666054,True,0,0.0,
OCM_138516,30.417411,-97.664204,True,0,0.0,
OCM_138519,30.432152,-97.754892,True,0,0.0,
OCM_138521,30.44599,-97.868845,True,3,0.0,
OCM_138522,30.4549274,-97.6021957,True,0,0.0,
OCM_138523,30.467935,-97.789368,True,0,0.0,
OCM_158328,30.143914,-97.789427,True,0,0.0,
OCM_158332,30.169432,-97.772125,True,0,0.0,
OCM_158333,30.170794,-97.77565,True,0,0.0,
OCM_158340,30.2644558,-97.7713825,True,0,0.0,
OCM_158341,30.267609,-97.746544,True,0,0.0,
OCM_158344,30.3553784,-97.8028744,True,6,0.0,
OCM_158349,30.479233,-97.8346,True,0,0.0,
OCM_158350,30.49578,-97.821963,True,0,0.0,
OCM_170226,30.402497,-97.724726,True,0,0.0,
OCM_218111,30.1275596,-97.8025951,True,0,0.0,
OCM_218122,30.162883,-97.792096,True,0,0.0,
OCM_218126,30.169054,-97.831975,True,0,0.0,
OCM_218127,30.17242,-97.630913,True,8,0.0,
OCM_218134,30.178323,-97.78566,True,0,0.0,
OCM_218137,30.178462,-97.785639,True,0,0.0,
OCM_218139,30.180294,-97.773031,True,0,0.0,
OCM_218141,30.18076,-97.721997,True,0,0.0,
OCM_218152,30.204497,-97.650816,True,0,0.0,
OCM_218153,30.204562,-97.716992,True,0,0.0,
OCM_218155,30.204655,-97.666451,True,0,0.0,
OCM_218156,30.204711,-97.666322,True,0,0.0,
OCM_218158,30.205553,-97.65078,True,0,0.0,
OCM_218161,30.210792,-97.753427,True,0,0.0,
OCM_218165,30.214901,-97.832674,True,0,0.0,
OCM_218167,30.216125,-97.829537,True,0,0.0,
OCM_218169,30.217288,-97.687118,True,0,0.0,
OCM_218170,30.218437,-97.75365,True,0,0.0,
OCM_218171,30.2215703,-97.725749,True,0,0.0,
OCM_218174,30.2261966,-97.821941,True,0,0.0,
OCM_218175,30.233412,-97.79311,True,0,0.0,
OCM_218181,30.2414843,-97.7115806,True,0,0.0,
OCM_218182,30.241886,-97.720477,True,0,0.0,
OCM_218183,30.2439867499556,-97.7283889473696,True,0,0.0,
OCM_218184,30.244099,-97.725285,True,0,0.0,
OCM_218186,30.244145,-97.725371,True,0,0.0,
OCM_218189,30.2472116,-97.750005,True,0,0.0,
OCM_218190,30.247525,-97.858798,True,0,0.0,
OCM_218191,30.248701,-97.88998,True,0,0.0,
OCM_218192,30.25239,-97.69435,True,0,0.0,
OCM_218193,30.25271,-97.707504,True,0,0.0,
OCM_218194,30.253021,-97.693318,True,0,0.0,
OCM_218195,30.254606,-97.717983,True,0,0.0,
OCM_218197,30.254805,-97.718005,True,0,0.0,
OCM_218198,30.254827,-97.605118,True,9,0.0,
OCM_218201,30.26208,-97.73814,True,0,0.0,
OCM_218202,30.2635448,-97.7283672,True,0,0.0,
OCM_218204,30.26651,-97.74467,True,0,0.0,
OCM_218206,30.268274,-97.785044,True,0,0.0,
